MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
W21-2-1,TRAVEL AT YOUR OWN RISK SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-2-1.png,PA Highways
W21-5,SHOULDER WORK SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W21-5.jpg,ETC
W21-5,SHOULDER WORK SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W21-5.jpg,ETC
W21-5,SHOULDER WORK SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W21-5.jpg,ETC
W21-5-1,FRESH OIL AND CHIPS SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5-1.png,PA Highways
W21-5-2,OIL AND CHIPPING AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5-2.png,PA Highways
W21-5BL,LEFT SHOULDER CLOSED (_) SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5bl.png,PA Highways
W21-5BL,LEFT SHOULDER CLOSED (_) SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5bl.png,PA Highways
W21-5BL,LEFT SHOULDER CLOSED (_) SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5bl.png,PA Highways
W21-5BR,RIGHT SHOULDER CLOSED (_) SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-5br.png,PA Highways
