PATA Number,PATA Description,Condition,PATA Series,PATA Series Description,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_count_1,sign_count_2,sign_count_3,sign_count_4,sign_count_5,sign_count_6,sign_count_7,sign_count_8,blight_red_count
112,"Flagger on Closed Lane Approach, AFAD at Other End",Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,W1-4R,W3-4,R10-6AL,,,,,,,,,,,
113,"AFAD on Closed Lane Approach, Flagger at Other End",Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,W3-4,R10-6AL,,,,,,,,,,,,
114,AFADs with Two Operators,Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W1-4R,W3-4,R10-6AL,,,,,,,,,,,,
115,AFADs with One Operator,Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
201-A,Single-Lane Approach,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
201-B,Multi-Lane Approach - Right Shoulder,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
201-C,Multi-Lane Approach - Left Shoulder,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
202-A,Single-Lane Approach,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BR,G20-2,,,,,,,,,,,,,
202-B,Multi-Lane Approach - Right Shoulder,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BR,G20-2,,,,,,,,,,,,,
202-C,Multi-Lane Approach - Left Shoulder,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BL,G20-2,,,,,,,,,,,,,
203,Single-Lane Approach With Roadway Encroachment,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W5-5,W14-3,G20-2,,,,,,,,,,,,,
204,Work Space in Center of Roadway,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W5-5,W14-3,G20-2,R4-7,,,,,,,,,,,,
205,Self-Regulating Stop Control,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W1-4R,W3-1,W14-3,G20-2,R1-1,,,,,,,,,,
206,Lane Shift into Opposing Lane,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W5-5,G20-2,,,,,,,,,,,,,,
207,Lane Shift into Center Left-Turn Lane,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W9-3,G20-2,M4-6,R3-9CP,R3-9B,,,,,,,,,,,
208,Work in Center Left-Turn Lane,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W9-3,G20-2,R3-9CP,R3-9DP,R3-9B,,,,,,,,,,,
209-A,Work in Right Lane,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5R,W4-2R,G20-2,,,,,,,,,,,,,
209-B,Work in Left Lane,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,G20-2,,,,,,,,,,,,,
210,"Work in Two Lanes, Same Direction (Lane Shift Into Opposing Lane)",Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W20-5R,W4-2L,W4-2R,W1-4L,W1-4R,G20-2,,,,,,,,,
211-A,Work in Right Lane of One-Way Roadway,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5R,W4-2R,G20-2,,,,,,,,,,,,,
211-B,Work in Left Lane of One-Way Roadway,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,G20-2,,,,,,,,,,,,,
212-A,Work in Right Lane with Left Lane Encroachment - Shoulder Used as Lane,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,W5-5,G20-2,,,,,,,,,,,,
212-B,Work in Left Lane with Right Lane Encroachment - Shoulder Used as Lane,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,W5-5,G20-2,,,,,,,,,,,,
213-A,Work in Right Two Lanes,Work on a Multi-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W20-5AR,W4-2R,G20-2,,,,,,,,,,,,,
